calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-12-01,13.3,17.1,10.0,2.0,0.4,,0,0,4.6,,,,,
2016-12-02,8.7,12.6,3.4,0.0,4.4,,0,0,3.9,,,,,
2016-12-03,8.4,15.5,3.3,0.0,8.1,,0,0,1.7,,,,,
2016-12-04,12.3,17.0,7.2,6.0,4.3,,0,0,4.6,,,,,
2016-12-05,11.7,17.0,7.8,2.0,5.5,,0,0,2.2,,,,,
2016-12-06,8.4,11.2,6.8,11.0,0.0,,0,0,5.3,,,,,
2016-12-07,8.0,12.2,5.1,0.5,5.3,,0,0,1.9,,,,,
2016-12-08,7.0,10.9,4.4,11.5,4.7,,0,0,2.2,,,,,
2016-12-09,9.6,14.9,4.6,7.0,2.3,,0,0,3.7,,,,,
2016-12-10,6.2,9.7,1.5,11.5,0.0,,0,0,4.6,,,,,
2016-12-11,4.1,7.2,1.7,9.0,0.2,,0,0,1.5,,,,,
2016-12-12,5.4,9.0,0.0,0.0,2.9,,0,0,3.5,,,,,
2016-12-13,8.0,10.3,6.1,40.0,0.0,,0,0,2.9,,,,,
2016-12-14,7.5,11.4,4.2,17.0,0.0,,0,0,8.0,,,,,
2016-12-15,4.5,6.8,1.8,1.5,0.2,,0,0,3.5,,,,,
2016-12-16,3.0,5.6,0.5,12.0,0.3,,0,0,4.7,,,,,
2016-12-17,4.8,9.0,0.6,1.5,1.0,,0,0,2.2,,,,,
2016-12-18,6.7,13.2,3.0,0.0,7.9,,0,0,2.5,,,,,
2016-12-19,7.9,15.1,2.5,0.0,7.0,,0,0,2.4,,,,,
2016-12-20,8.4,12.4,4.4,0.0,0.0,,0,0,2.1,,,,,
2016-12-21,9.3,15.4,2.7,0.0,6.6,,0,0,3.1,,,,,
2016-12-22,15.3,18.8,12.2,21.0,0.5,,0,0,6.5,,,,,
2016-12-23,9.0,13.0,5.5,13.5,0.2,,0,0,4.2,,,,,
2016-12-24,5.0,6.8,2.9,21.0,1.1,,0,0,1.8,,,,,
2016-12-25,6.2,10.4,2.4,0.0,5.4,,0,0,2.2,,,,,
2016-12-26,8.4,11.6,1.3,0.5,0.2,,0,0,5.4,,,,,
2016-12-27,8.8,12.9,4.4,44.5,0.0,,0,0,7.1,,,,,
2016-12-28,3.4,6.0,-0.3,2.5,0.9,,0,0,5.8,,,,,
2016-12-29,3.8,6.8,-0.1,5.0,2.1,,0,0,3.0,,,,,
2016-12-30,5.1,6.7,1.6,5.0,0.0,,0,0,4.5,,,,,
2016-12-31,5.0,9.2,0.4,0.5,1.7,,0,0,1.5,,,,,
2017-01-01,7.5,11.9,4.8,1.0,6.0,,0,0,1.6,,,,,
2017-01-02,7.3,13.3,2.8,0.0,5.3,,0,0,1.8,,,,,
2017-01-03,5.9,8.7,3.2,22.5,0.0,,0,0,1.7,,,,,
2017-01-04,5.6,10.4,0.7,2.5,0.5,,0,0,3.6,,,,,
2017-01-05,6.5,7.8,4.6,0.0,0.6,,0,0,6.6,,,,,
2017-01-06,5.6,8.5,2.7,0.0,1.8,,0,0,2.8,,,,,
2017-01-07,4.4,9.6,0.7,0.0,7.8,,0,0,2.7,,,,,
2017-01-08,4.1,6.9,1.6,8.5,0.0,,0,0,1.2,,,,,
2017-01-09,6.9,11.1,4.2,16.0,0.3,,0,0,2.4,,,,,
2017-01-10,7.4,12.3,4.4,18.5,4.9,,0,0,4.0,,,,,
2017-01-11,3.7,5.9,1.9,14.5,0.6,,0,0,3.6,,,,,
2017-01-12,4.2,7.1,2.1,1.5,1.3,,0,0,3.2,,,,,
2017-01-13,2.9,5.7,0.0,4.5,0.2,,0,0,3.5,,,,,
2017-01-14,0.2,2.6,-2.1,27.5,0.0,,39,40,8.5,,,,,
2017-01-15,1.8,3.7,-1.1,5.0,0.1,,37,2,9.6,,,,,
2017-01-16,3.2,5.6,0.9,9.0,0.6,,34,1,8.6,,,,,
2017-01-17,4.7,6.3,2.3,1.5,0.5,,23,0,5.8,,,,,
2017-01-18,2.8,8.6,-2.3,0.0,7.7,,18,1,2.3,,,,,
2017-01-19,3.3,6.7,-1.6,0.0,0.3,,15,3,2.7,,,,,
2017-01-20,3.0,9.1,-2.7,2.5,3.7,,11,2,4.2,,,,,
2017-01-21,4.1,6.1,0.8,0.0,1.2,,5,2,6.2,,,,,
2017-01-22,4.0,8.3,-0.2,2.0,2.4,,3,3,4.1,,,,,
2017-01-23,0.7,2.2,-0.2,40.5,0.0,,36,36,5.4,,,,,
2017-01-24,1.2,3.0,-0.5,11.5,0.9,,38,12,5.3,,,,,
2017-01-25,0.9,3.3,-0.2,11.5,1.3,,35,6,1.9,,,,,
2017-01-26,1.9,7.0,-1.4,0.0,9.2,,30,0,2.1,,,,,
2017-01-27,5.2,11.7,1.0,0.0,1.6,,24,1,3.8,,,,,
2017-01-28,2.2,8.1,-1.1,1.0,7.7,,19,0,1.6,,,,,
2017-01-29,3.3,9.3,-3.7,4.5,3.6,,15,0,3.1,,,,,
2017-01-30,6.5,9.0,4.2,9.5,0.0,,9,0,6.7,,,,,
2017-01-31,2.7,4.7,0.3,0.5,0.0,,0,0,4.6,,,,,
2017-02-01,2.6,6.4,-1.9,7.0,1.3,,1,1,4.8,,,,,
2017-02-02,3.1,4.6,1.2,5.5,0.5,,0,0,5.0,,,,,
2017-02-03,6.1,8.6,2.6,0.0,0.7,,0,0,4.2,,,,,
2017-02-04,4.6,11.3,0.3,0.0,9.7,,0,0,1.9,,,,,
2017-02-05,6.0,8.3,1.6,4.0,0.0,,0,0,4.8,,,,,
2017-02-06,5.0,8.2,1.3,31.0,0.0,,1,1,5.9,,,,,
2017-02-07,3.4,4.7,1.2,1.5,0.2,,0,0,8.2,,,,,
2017-02-08,3.8,5.6,0.7,0.0,0.0,,0,0,4.4,,,,,
2017-02-09,3.4,5.6,1.0,0.0,0.0,,0,0,4.3,,,,,
2017-02-10,0.6,4.2,-0.8,64.5,0.0,,76,81,,,,,,
2017-02-11,0.1,1.6,-1.0,34.0,0.2,,80,11,2.7,,,,,
2017-02-12,0.5,2.2,-0.6,26.0,0.4,,74,11,1.9,,,,,
2017-02-13,0.4,1.9,-3.3,7.0,0.1,,72,2,,,,,,
2017-02-14,1.3,3.6,-1.0,6.0,1.1,,60,1,1.8,,,,,
2017-02-15,2.5,5.8,-1.9,0.0,1.3,,49,2,2.1,,,,,
2017-02-16,3.4,8.3,-2.9,0.0,9.0,,43,0,4.4,,,,,
2017-02-17,6.3,14.0,3.1,1.0,0.0,,35,0,4.3,,,,,
2017-02-18,4.1,7.9,1.4,3.5,4.3,,26,1,2.3,,,,,
2017-02-19,2.5,6.3,0.2,3.0,3.6,,24,3,2.7,,,,,
2017-02-20,6.2,15.0,3.0,12.5,0.0,,21,2,7.2,,,,,
2017-02-21,3.4,4.1,1.4,2.0,0.3,,11,2,8.5,,,,,
2017-02-22,5.1,9.5,-1.3,0.5,5.6,,10,0,4.8,,,,,
2017-02-23,8.0,10.9,4.2,6.5,0.0,,3,0,5.9,,,,,
2017-02-24,3.9,6.1,0.5,0.0,2.2,,0,0,5.2,,,,,
2017-02-25,3.9,9.2,0.7,0.0,7.6,,0,0,1.8,,,,,
2017-02-26,4.7,11.2,-1.3,1.0,6.9,,0,0,2.3,,,,,
2017-02-27,4.4,6.7,1.7,0.0,1.8,,0,0,3.4,,,,,
2017-02-28,3.9,7.3,-0.7,0.0,0.8,,0,0,1.8,,,,,
2017-03-01,5.3,12.2,-2.3,0.0,4.9,,0,0,4.0,,,,,
2017-03-02,8.2,14.5,5.9,17.5,2.0,,0,0,4.0,,,,,
2017-03-03,6.1,9.4,-0.2,2.5,5.1,,0,0,5.9,,,,,
2017-03-04,5.5,13.8,-1.1,0.0,8.6,,0,0,2.1,,,,,
2017-03-05,6.7,14.2,-0.8,0.0,7.1,,0,0,2.0,,,,,
2017-03-06,7.4,13.9,3.8,7.0,0.0,,0,0,3.5,,,,,
2017-03-07,1.9,7.4,0.1,11.5,1.5,,1,1,3.5,,,,,
2017-03-08,2.1,5.5,-0.1,0.5,1.4,,0,0,2.0,,,,,
2017-03-09,4.7,9.2,0.0,0.0,3.7,,0,0,2.3,,,,,
2017-03-10,4.8,7.7,0.9,8.0,0.9,,0,0,2.9,,,,,
2017-03-11,5.5,8.3,2.4,0.0,3.2,,0,0,3.1,,,,,
2017-03-12,5.2,11.7,-0.3,0.0,10.6,,0,0,2.3,,,,,
2017-03-13,9.9,16.4,3.4,11.0,3.2,,0,0,4.1,,,,,
2017-03-14,7.3,10.4,4.7,2.0,1.1,,0,0,5.0,,,,,
2017-03-15,6.4,8.3,4.0,5.0,0.5,,0,0,8.7,,,,,
2017-03-16,7.0,10.3,4.5,1.0,4.2,,0,0,4.2,,,,,
2017-03-17,5.8,10.0,2.3,0.0,3.3,,0,0,2.8,,,,,
2017-03-18,6.1,12.5,0.1,0.5,5.2,,0,0,1.5,,,,,
2017-03-19,8.3,15.0,0.8,0.0,7.4,,0,0,2.8,,,,,
2017-03-20,9.3,14.5,3.2,0.0,7.7,,0,0,2.2,,,,,
2017-03-21,8.1,9.5,6.9,26.5,0.0,,0,0,4.8,,,,,
2017-03-22,7.7,11.2,2.6,0.0,6.0,,0,0,5.4,,,,,
2017-03-23,7.0,12.2,1.8,1.0,2.6,,0,0,1.9,,,,,
2017-03-24,6.9,9.1,4.1,0.5,6.4,,0,0,5.0,,,,,
2017-03-25,6.0,10.5,1.5,0.0,10.8,,0,0,2.8,,,,,
2017-03-26,5.3,9.5,-0.3,0.5,0.1,,0,0,1.4,,,,,
2017-03-27,7.5,11.4,3.7,0.5,4.2,,0,0,3.9,,,,,
2017-03-28,7.6,13.2,1.6,0.5,7.4,,0,0,2.4,,,,,
2017-03-29,8.6,15.6,3.0,0.0,8.6,,0,0,2.0,,,,,
2017-03-30,11.9,17.5,6.3,0.0,9.0,,0,0,2.7,,,,,
2017-03-31,7.6,10.3,5.1,2.0,0.0,,0,0,1.9,,,,,
2017-04-01,8.0,10.6,5.1,0.0,1.8,,0,0,3.7,,,,,
2017-04-02,6.8,11.9,0.2,0.0,11.6,,0,0,3.2,,,,,
2017-04-03,9.8,18.3,0.7,0.0,10.8,,0,0,3.4,,,,,
2017-04-04,11.9,17.8,5.6,0.0,9.3,,0,0,2.7,,,,,
2017-04-05,15.0,20.3,5.1,0.0,6.0,,0,0,5.5,,,,,
2017-04-06,15.6,20.4,13.1,5.5,0.6,,0,0,6.2,,,,,
2017-04-07,17.2,20.3,14.4,4.5,0.3,,0,0,5.6,,,,,
2017-04-08,18.0,24.8,13.6,6.0,1.4,,0,0,3.0,,,,,
2017-04-09,12.0,13.9,9.4,6.5,0.0,,0,0,4.6,,,,,
2017-04-10,11.1,15.1,5.0,0.0,2.5,,0,0,4.7,,,,,
2017-04-11,11.8,13.3,10.3,10.5,0.0,,0,0,5.3,,,,,
2017-04-12,10.3,13.7,3.9,0.0,1.9,,0,0,5.9,,,,,
2017-04-13,9.0,16.6,1.5,0.0,10.7,,0,0,2.5,,,,,
2017-04-14,15.3,24.3,4.0,0.0,10.6,,0,0,3.4,,,,,
2017-04-15,16.6,22.2,11.7,5.5,4.2,,0,0,3.5,,,,,
2017-04-16,17.3,25.1,10.7,0.0,11.3,,0,0,2.5,,,,,
2017-04-17,17.5,23.5,11.8,11.0,2.4,,0,0,5.5,,,,,
2017-04-18,15.1,21.5,10.0,11.0,4.3,,0,0,3.3,,,,,
2017-04-19,14.1,19.0,10.3,2.5,3.0,,0,0,4.9,,,,,
2017-04-20,12.5,18.3,7.0,0.0,5.6,,0,0,1.7,,,,,
2017-04-21,14.2,19.5,10.4,0.0,4.7,,0,0,1.9,,,,,
2017-04-22,12.4,14.7,10.6,0.0,4.3,,0,0,4.6,,,,,
2017-04-23,11.4,15.4,6.7,0.0,11.7,,0,0,3.1,,,,,
2017-04-24,15.7,23.0,5.0,0.0,9.9,,0,0,5.0,,,,,
2017-04-25,18.3,23.8,14.3,0.0,6.6,,0,0,5.8,,,,,
2017-04-26,14.8,16.8,12.1,18.5,0.0,,0,0,4.0,,,,,
2017-04-27,12.6,16.0,7.9,2.5,8.3,,0,0,3.7,,,,,
2017-04-28,13.3,21.0,5.1,0.0,12.2,,0,0,2.3,,,,,
2017-04-29,15.0,21.5,10.0,2.5,5.2,,0,0,3.8,,,,,
2017-04-30,18.5,28.1,8.6,0.0,12.2,,0,0,4.4,,,,,
2017-05-01,15.1,20.2,10.3,0.0,2.0,,0,0,3.1,,,,,
2017-05-02,13.2,18.8,8.3,0.0,11.1,,0,0,2.2,,,,,
2017-05-03,18.4,24.2,10.1,0.0,6.0,,0,0,5.5,,,,,
2017-05-04,19.2,23.9,12.4,0.0,11.4,,0,0,6.0,,,,,
2017-05-05,21.0,26.5,16.5,0.0,9.3,,0,0,4.0,,,,,
2017-05-06,17.6,21.4,12.9,6.5,0.4,,0,0,3.0,,,,,
2017-05-07,16.8,22.0,11.6,0.0,11.5,,0,0,2.8,,,,,
2017-05-08,17.0,24.4,9.6,0.0,11.3,,0,0,2.2,,,,,
2017-05-09,17.2,24.3,11.4,2.0,0.0,,0,0,3.0,,,,,
2017-05-10,17.8,22.4,15.2,7.0,2.0,,0,0,6.0,,,,,
2017-05-11,18.7,24.6,14.8,0.0,6.2,,0,0,1.6,,,,,
2017-05-12,20.4,26.8,14.3,0.0,5.8,,0,0,1.8,,,,,
2017-05-13,17.0,21.1,14.5,8.0,0.0,,0,0,3.6,,,,,
2017-05-14,18.6,26.6,13.6,0.0,10.8,,0,0,2.6,,,,,
2017-05-15,17.3,22.5,13.9,0.0,2.9,,0,0,1.9,,,,,
2017-05-16,15.6,19.5,12.0,0.0,3.4,,0,0,1.8,,,,,
2017-05-17,15.3,19.9,10.2,0.0,5.2,,0,0,2.7,,,,,
2017-05-18,15.7,21.8,10.5,0.0,12.3,,0,0,2.5,,,,,
2017-05-19,18.8,28.1,8.9,0.0,13.2,,0,0,2.0,,,,,
2017-05-20,21.3,30.7,12.8,0.0,13.0,,0,0,2.3,,,,,
2017-05-21,21.2,29.1,13.1,0.0,11.0,,0,0,2.1,,,,,
2017-05-22,21.6,29.2,15.7,0.0,12.3,,0,0,2.2,,,,,
2017-05-23,21.9,31.0,15.7,0.0,9.3,,0,0,3.1,,,,,
2017-05-24,20.1,24.5,17.0,1.0,0.0,,0,0,2.0,,,,,
2017-05-25,20.5,25.9,18.0,17.0,3.1,,0,0,2.7,,,,,
2017-05-26,18.5,26.4,14.2,0.0,2.4,,0,0,3.4,,,,,
2017-05-27,16.4,20.9,11.2,0.0,5.2,,0,0,2.9,,,,,
2017-05-28,17.1,21.9,12.4,1.0,9.0,,0,0,2.0,,,,,
2017-05-29,20.9,29.8,12.2,0.0,12.2,,0,0,2.7,,,,,
2017-05-30,23.4,32.2,16.0,0.0,8.6,,0,0,2.0,,,,,
2017-05-31,22.4,30.2,18.1,7.5,6.4,,0,0,2.2,,,,,
