calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-12-16,-0.4,1.5,-2.0,20.0,0.6,,,,1.7,,,,,
2016-12-17,3.0,5.6,0.3,7.5,0.0,,,,2.2,,,,,
2016-12-18,5.1,8.5,2.9,11.0,0.8,,,,1.4,,,,,
2016-12-19,5.4,10.8,1.3,0.5,6.5,,,,1.0,,,,,
2016-12-20,2.5,4.0,1.4,6.0,0.0,,,,0.3,,,,,
2016-12-21,1.8,4.9,-0.1,0.0,0.0,,,,0.5,,,,,
2016-12-22,2.3,4.0,0.7,7.5,0.0,,,,0.2,,,,,
2016-12-23,5.9,11.8,1.9,22.5,0.0,,,,2.6,,,,,
2016-12-24,1.6,3.6,-0.9,0.5,0.3,,,,1.4,,,,,
2016-12-25,0.2,3.2,-2.0,1.0,1.2,,,,,,,,,
2016-12-26,-0.8,1.8,-3.4,2.5,1.3,,,,0.6,,,,,
2016-12-27,1.5,4.5,0.4,10.5,0.0,,,,0.4,,,,,
2016-12-28,0.0,2.3,-1.5,1.0,3.2,,,,0.8,,,,,
2016-12-29,0.5,2.8,-1.4,8.0,0.4,,,,1.1,,,,,
2016-12-30,0.1,2.5,-1.8,7.0,1.9,,,,1.7,,,,,
2016-12-31,0.4,5.5,-4.1,10.0,1.5,,,,0.8,,,,,
2017-01-01,-0.1,4.1,-4.0,8.0,0.7,,,,0.6,,,,,
2017-01-02,1.5,3.2,0.6,23.0,0.0,,,,0.5,,,,,
2017-01-03,1.8,5.9,-0.4,2.5,3.5,,,,0.8,,,,,
2017-01-04,0.6,2.0,0.1,18.5,0.1,,,,,,,,,
2017-01-05,-0.2,1.9,-3.5,14.0,2.0,,,,0.8,,,,,
2017-01-06,-1.2,1.4,-3.9,0.0,0.6,,,,0.4,,,,,
2017-01-07,0.3,2.3,-1.3,7.5,0.6,,,,0.6,,,,,
2017-01-08,0.6,4.5,-3.3,0.0,6.2,,,,,,,,,
2017-01-09,1.6,4.6,0.1,10.0,0.0,,,,,,,,,
2017-01-10,1.3,4.4,-1.7,7.0,4.0,,,,,,,,,
2017-01-11,-2.3,0.0,-3.1,9.5,0.0,,,,,,,,,
2017-01-12,-2.4,-1.4,-3.1,14.0,0.0,,,,,,,,,
2017-01-13,-2.7,-1.8,-3.3,17.5,0.0,,,,,,,,,
2017-01-14,-4.8,-3.3,-6.4,26.0,0.0,,,,,,,,,
2017-01-15,-5.9,-3.1,-10.0,30.5,0.0,,,,,,,,,
2017-01-16,-3.2,0.8,-6.0,6.0,3.8,,,,,,,,,
2017-01-17,-3.5,2.2,-9.7,0.5,4.1,,,,0.6,,,,,
2017-01-18,-1.0,2.2,-5.6,6.5,1.6,,,,0.6,,,,,
2017-01-19,1.1,4.1,-0.8,9.5,1.7,,,,1.6,,,,,
2017-01-20,0.2,3.3,-1.4,2.0,3.4,,,,,,,,,
2017-01-21,0.4,3.9,-1.9,0.5,4.1,,,,,,,,,
2017-01-22,-0.6,0.5,-2.9,20.0,0.0,,,,,,,,,
2017-01-23,-0.9,1.6,-2.8,7.5,2.0,,,,1.5,,,,,
2017-01-24,-3.1,-0.7,-4.8,4.0,1.4,,,,1.5,,,,,
2017-01-25,-2.0,1.1,-6.3,12.0,0.5,,,,0.9,,,,,
2017-01-26,1.5,5.5,-2.1,0.5,4.2,,,,1.1,,,,,
2017-01-27,0.1,7.8,-3.2,15.0,0.0,,,,1.6,,,,,
2017-01-28,1.5,3.9,-0.5,1.5,2.0,,,,2.1,,,,,
2017-01-29,1.1,5.8,-2.8,0.0,6.5,,,,0.6,,,,,
2017-01-30,0.8,4.5,-0.7,23.0,0.0,,,,0.9,,,,,
2017-01-31,-0.5,1.8,-2.7,1.0,0.9,,,,1.9,,,,,
2017-02-01,-0.6,2.4,-4.2,8.5,0.1,,,,1.6,,,,,
2017-02-02,-2.8,0.0,-5.3,20.0,0.0,,,,2.8,,,,,
2017-02-03,0.7,3.4,-1.8,3.5,0.9,,,,2.2,,,,,
2017-02-04,3.2,6.4,0.6,1.0,2.9,,,,1.7,,,,,
2017-02-05,1.5,4.7,0.2,1.0,0.2,,,,0.4,,,,,
2017-02-06,2.6,5.7,0.3,31.0,0.2,,,,1.7,,,,,
2017-02-07,-1.0,1.8,-2.9,11.0,0.9,,,,2.2,,,,,
2017-02-08,-0.4,1.8,-2.4,3.0,0.2,,,,1.4,,,,,
2017-02-09,0.0,3.4,-1.3,4.5,2.1,,,,,,,,,
2017-02-10,0.1,2.8,-1.9,12.5,0.1,,,,1.4,,,,,
2017-02-11,-1.3,1.2,-3.0,24.5,0.0,,,,1.5,,,,,
2017-02-12,0.7,2.0,-2.5,25.0,0.1,,,,1.0,,,,,
2017-02-13,0.4,2.3,-1.9,6.5,0.7,,,,0.7,,,,,
2017-02-14,0.6,3.7,-0.4,14.5,1.4,,,,,,,,,
2017-02-15,0.7,3.4,-2.9,8.0,0.5,,,,,,,,,
2017-02-16,0.3,3.2,-3.3,0.0,0.5,,,,0.4,,,,,
2017-02-17,1.5,8.9,-3.4,35.5,0.1,,,,1.4,,,,,
2017-02-18,-0.5,1.2,-2.1,0.5,2.2,,,,2.8,,,,,
2017-02-19,-0.7,1.9,-2.8,0.0,5.2,,,,2.4,,,,,
2017-02-20,0.3,4.5,-1.9,42.5,0.0,,,,,,,,,
2017-02-21,-1.2,1.8,-3.3,3.0,1.7,,,,2.3,,,,,
2017-02-22,-0.3,3.1,-2.7,0.0,1.1,,,,0.7,,,,,
2017-02-23,1.6,6.9,-0.9,26.0,0.0,,,,1.6,,,,,
2017-02-24,0.1,2.7,-1.9,4.0,3.6,,,,3.1,,,,,
2017-02-25,0.3,4.7,-1.7,8.5,2.7,,,,1.2,,,,,
2017-02-26,1.3,5.0,-0.2,11.0,3.2,,,,,,,,,
2017-02-27,-0.6,3.1,-5.3,1.0,6.4,,,,1.1,,,,,
2017-02-28,-2.8,5.4,-9.6,0.0,9.8,,,,0.7,,,,,
2017-03-01,-0.1,6.8,-5.7,0.0,5.7,,,,0.5,,,,,
2017-03-02,0.9,7.4,-4.9,0.0,4.1,,,,0.5,,,,,
2017-03-03,2.4,5.5,-1.1,0.5,3.2,,,,1.9,,,,,
2017-03-04,1.7,5.1,-1.4,10.5,0.3,,,,1.2,,,,,
2017-03-05,1.1,6.6,-3.3,0.0,6.1,,,,0.8,,,,,
2017-03-06,2.7,9.2,-3.5,3.5,3.3,,,,1.2,,,,,
2017-03-07,0.2,2.2,-1.3,5.0,1.0,,,,2.2,,,,,
2017-03-08,0.4,2.7,-2.0,8.0,1.6,,,,1.8,,,,,
2017-03-09,1.0,4.6,-0.9,8.5,0.1,,,,1.0,,,,,
2017-03-10,0.9,4.2,-2.9,6.0,1.8,,,,,,,,,
2017-03-11,0.2,5.0,-3.9,0.0,4.5,,,,0.8,,,,,
2017-03-12,0.9,6.6,-2.9,0.0,3.2,,,,0.7,,,,,
2017-03-13,0.2,7.5,-5.6,0.0,4.9,,,,0.7,,,,,
2017-03-14,1.0,3.3,-0.6,18.0,0.0,,,,0.4,,,,,
2017-03-15,0.8,4.9,-2.4,2.0,0.8,,,,,,,,,
2017-03-16,1.3,6.5,-3.0,2.5,3.2,,,,1.0,,,,,
2017-03-17,1.6,7.3,-3.1,11.5,6.3,,,,0.9,,,,,
2017-03-18,3.6,8.4,-0.6,21.5,4.9,,,,,,,,,
2017-03-19,3.8,7.4,-1.1,0.0,8.8,,,,1.3,,,,,
2017-03-20,3.8,9.0,-1.3,0.0,6.1,,,,1.1,,,,,
2017-03-21,1.4,5.5,-1.8,4.5,0.0,,,,0.2,,,,,
2017-03-22,4.1,7.7,0.9,2.0,3.7,,,,1.7,,,,,
2017-03-23,3.7,6.3,0.3,0.0,5.4,,,,1.8,,,,,
2017-03-24,1.5,4.3,-1.1,3.5,4.0,,,,1.6,,,,,
2017-03-25,1.0,6.2,-3.1,0.5,5.1,,,,1.1,,,,,
2017-03-26,1.8,9.6,-5.5,0.0,8.7,,,,0.7,,,,,
2017-03-27,2.0,4.1,0.5,3.0,0.0,,,,0.3,,,,,
2017-03-28,1.4,6.1,-1.6,4.0,3.1,,,,0.7,,,,,
2017-03-29,1.8,5.4,-0.2,2.5,1.0,,,,0.6,,,,,
2017-03-30,4.2,10.8,-1.0,6.5,3.0,,,,1.1,,,,,
2017-03-31,3.4,7.0,-1.7,3.5,1.9,,,,1.0,,,,,
2017-04-01,2.2,7.4,-2.9,0.0,1.6,,,,0.5,,,,,
2017-04-02,2.5,8.3,-0.2,1.0,4.4,,,,0.8,,,,,
2017-04-03,2.2,6.0,0.0,3.5,1.3,,,,,,,,,
2017-04-04,3.0,11.3,-1.3,0.0,4.8,,,,0.6,,,,,
2017-04-05,4.2,15.0,-2.5,0.0,7.3,,,,0.5,,,,,
2017-04-06,6.1,17.1,0.3,1.0,4.7,,,,0.5,,,,,
2017-04-07,4.6,7.7,2.8,31.0,0.0,,,,0.5,,,,,
2017-04-08,4.8,8.8,2.4,2.5,0.0,,,,0.6,,,,,
2017-04-09,5.6,10.1,2.7,1.5,3.2,,,,0.9,,,,,
2017-04-10,4.3,11.8,-2.0,0.0,11.1,,,,0.9,,,,,
2017-04-11,4.9,12.1,-1.2,19.5,2.4,,,,1.4,,,,,
2017-04-12,6.6,9.4,3.6,4.5,2.9,,,,2.2,,,,,
2017-04-13,4.5,8.7,-0.8,1.0,4.5,,,,2.1,,,,,
2017-04-14,7.1,18.1,-1.7,0.0,8.4,,,,1.1,,,,,
2017-04-15,7.1,13.8,2.1,4.0,0.0,,,,0.8,,,,,
2017-04-16,11.5,20.4,2.7,0.0,5.1,,,,1.6,,,,,
2017-04-17,11.9,18.9,4.9,4.5,6.3,,,,2.3,,,,,
2017-04-18,10.7,17.2,7.4,15.0,0.6,,,,2.4,,,,,
2017-04-19,7.5,13.5,4.5,55.5,0.8,,,,2.7,,,,,
2017-04-20,7.3,10.4,4.6,2.0,4.4,,,,1.7,,,,,
2017-04-21,9.1,16.2,3.8,0.0,7.8,,,,1.1,,,,,
2017-04-22,8.0,11.6,1.7,0.0,5.4,,,,1.6,,,,,
2017-04-23,5.7,11.7,0.5,0.0,6.6,,,,1.2,,,,,
2017-04-24,8.6,19.6,-0.8,0.0,11.9,,,,1.0,,,,,
2017-04-25,11.3,21.2,2.5,0.0,7.2,,,,0.9,,,,,
2017-04-26,10.6,13.0,8.7,28.0,0.0,,,,0.7,,,,,
2017-04-27,10.2,13.2,7.3,3.0,7.9,,,,1.6,,,,,
2017-04-28,10.7,15.8,3.9,0.0,10.4,,,,1.7,,,,,
2017-04-29,8.4,15.2,2.6,0.5,3.4,,,,0.8,,,,,
2017-04-30,13.5,23.6,5.5,0.0,7.6,,,,1.3,,,,,
2017-05-01,11.1,16.4,5.6,1.5,6.3,,,,1.3,,,,,
2017-05-02,10.3,16.5,4.1,0.0,12.0,,,,1.4,,,,,
2017-05-03,12.2,24.0,1.3,0.0,12.3,,,,0.9,,,,,
2017-05-04,15.2,27.4,3.6,0.0,11.1,,,,1.2,,,,,
2017-05-05,16.1,24.6,6.3,0.0,11.2,,,,1.2,,,,,
2017-05-06,12.2,15.9,8.3,20.5,0.0,,,,0.8,,,,,
2017-05-07,11.6,17.0,6.4,0.0,8.7,,,,1.8,,,,,
2017-05-08,12.5,17.6,5.4,0.0,6.4,,,,2.2,,,,,
2017-05-09,11.7,19.5,2.8,0.0,7.4,,,,1.0,,,,,
2017-05-10,13.7,18.6,8.0,7.0,1.4,,,,0.9,,,,,
2017-05-11,12.8,15.5,10.1,37.0,0.0,,,,1.3,,,,,
2017-05-12,15.8,22.4,11.0,0.5,5.0,,,,0.8,,,,,
2017-05-13,13.7,16.0,11.5,11.5,0.0,,,,1.6,,,,,
2017-05-14,15.7,19.6,11.8,5.5,6.8,,,,3.8,,,,,
2017-05-15,13.5,17.8,11.5,26.0,1.1,,,,0.8,,,,,
2017-05-16,11.7,13.9,9.5,3.0,0.1,,,,1.2,,,,,
2017-05-17,13.2,19.7,8.3,0.0,6.7,,,,1.0,,,,,
2017-05-18,13.3,21.6,5.9,0.0,12.0,,,,1.2,,,,,
2017-05-19,14.5,24.8,5.5,0.0,12.7,,,,1.1,,,,,
2017-05-20,16.5,25.8,6.7,0.0,12.4,,,,1.2,,,,,
2017-05-21,18.6,28.6,9.9,0.0,12.7,,,,1.1,,,,,
2017-05-22,19.2,28.8,10.3,0.0,11.1,,,,1.0,,,,,
2017-05-23,19.9,27.6,12.2,2.5,10.8,,,,1.2,,,,,
2017-05-24,17.5,20.7,14.9,2.5,0.0,,,,0.6,,,,,
2017-05-25,17.2,19.9,15.1,5.5,0.6,,,,0.7,,,,,
2017-05-26,17.4,21.7,14.9,18.5,1.0,,,,1.3,,,,,
2017-05-27,15.5,20.0,12.9,11.5,2.3,,,,1.1,,,,,
2017-05-28,14.0,17.3,11.7,12.5,0.8,,,,1.0,,,,,
2017-05-29,16.2,26.0,9.7,0.0,8.6,,,,1.0,,,,,
2017-05-30,18.0,26.3,10.2,0.0,6.7,,,,1.1,,,,,
2017-05-31,21.1,29.5,14.0,1.5,9.7,,,,1.1,,,,,
