calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-12-17,3.8,12.0,-0.8,0.0,7.4,,,,2.6,,,,,
2016-12-18,3.6,14.0,-2.9,0.0,7.4,,,,1.4,,,,,
2016-12-19,4.6,14.0,-1.0,0.0,6.8,,,,1.5,,,,,
2016-12-20,5.7,15.4,-0.1,0.0,6.2,,,,1.4,,,,,
2016-12-21,5.6,15.4,-0.5,0.0,6.1,,,,1.5,,,,,
2016-12-22,9.6,15.4,1.7,34.5,0.2,,,,1.4,,,,,
2016-12-23,11.8,17.0,4.8,1.0,6.9,,,,2.5,,,,,
2016-12-24,4.8,11.7,-0.9,0.0,7.4,,,,2.1,,,,,
2016-12-25,2.8,9.6,-1.3,0.0,5.2,,,,1.6,,,,,
2016-12-26,3.3,10.9,-2.0,0.0,0.7,,,,1.5,,,,,
2016-12-27,9.9,14.1,3.0,6.5,0.2,,,,2.1,,,,,
2016-12-28,2.9,7.7,-2.8,0.0,7.4,,,,2.2,,,,,
2016-12-29,2.4,13.0,-3.9,0.0,7.0,,,,1.8,,,,,
2016-12-30,2.2,10.2,-2.7,0.0,7.4,,,,2.0,,,,,
2016-12-31,1.4,10.5,-4.1,0.0,7.3,,,,1.3,,,,,
2017-01-01,2.8,13.0,-2.8,0.0,7.3,,,,1.6,,,,,
2017-01-02,3.1,12.4,-2.0,0.0,7.3,,,,1.5,,,,,
2017-01-03,3.9,12.9,-1.3,0.0,7.3,,,,1.7,,,,,
2017-01-04,4.1,14.0,-2.1,0.0,7.3,,,,2.0,,,,,
2017-01-05,1.9,9.8,-3.0,0.0,7.4,,,,1.9,,,,,
2017-01-06,0.3,7.7,-4.5,0.0,7.3,,,,1.8,,,,,
2017-01-07,0.0,8.7,-5.7,0.0,7.4,,,,1.7,,,,,
2017-01-08,-0.6,3.3,-3.4,28.0,0.0,,,,0.7,,,,,
2017-01-09,1.6,6.8,-0.7,2.5,4.2,,,,0.9,,,,,
2017-01-10,2.3,10.6,-1.7,0.0,7.4,,,,2.0,,,,,
2017-01-11,1.9,9.4,-2.9,0.0,7.5,,,,2.2,,,,,
2017-01-12,1.1,9.1,-4.0,0.0,7.5,,,,2.4,,,,,
2017-01-13,1.2,9.3,-4.4,0.0,6.4,,,,2.1,,,,,
2017-01-14,-0.7,4.1,-4.4,0.0,1.9,,,,2.1,,,,,
2017-01-15,-2.1,2.4,-6.6,0.0,3.9,,,,2.4,,,,,
2017-01-16,-1.2,5.1,-8.6,0.0,7.5,,,,2.5,,,,,
2017-01-17,1.4,9.2,-3.5,0.0,5.9,,,,2.3,,,,,
2017-01-18,0.2,8.2,-5.4,0.0,7.7,,,,1.5,,,,,
2017-01-19,1.8,10.0,-2.8,0.0,5.7,,,,1.3,,,,,
2017-01-20,0.0,4.1,-3.0,0.0,0.6,,,,1.1,,,,,
2017-01-21,2.6,10.2,-2.7,0.0,7.5,,,,2.3,,,,,
2017-01-22,1.9,10.6,-4.7,0.0,7.8,,,,1.8,,,,,
2017-01-23,0.0,5.3,-4.3,0.0,7.3,,,,2.7,,,,,
2017-01-24,-1.1,5.0,-7.0,0.0,7.4,,,,2.1,,,,,
2017-01-25,-0.1,7.4,-6.0,0.0,8.0,,,,2.6,,,,,
2017-01-26,-0.4,9.5,-7.4,0.0,8.0,,,,1.3,,,,,
2017-01-27,4.6,15.7,-4.1,0.0,6.5,,,,2.1,,,,,
2017-01-28,3.0,11.5,-3.0,0.0,7.9,,,,1.7,,,,,
2017-01-29,4.1,11.4,-1.2,0.0,6.6,,,,1.5,,,,,
2017-01-30,8.6,18.5,0.5,0.0,5.9,,,,2.2,,,,,
2017-01-31,4.3,10.5,-0.3,0.0,7.3,,,,2.6,,,,,
2017-02-01,3.8,9.8,-1.9,0.0,7.8,,,,1.9,,,,,
2017-02-02,3.7,7.7,-2.1,0.0,8.4,,,,3.4,,,,,
2017-02-03,4.3,12.7,-2.3,0.0,8.4,,,,2.3,,,,,
2017-02-04,2.8,12.5,-4.8,0.0,8.4,,,,1.7,,,,,
2017-02-05,2.8,8.4,-2.6,1.5,0.9,,,,1.0,,,,,
2017-02-06,6.3,12.9,2.0,0.0,7.9,,,,3.2,,,,,
2017-02-07,3.6,7.7,-1.2,0.0,8.3,,,,3.6,,,,,
2017-02-08,2.7,10.5,-4.4,0.0,7.6,,,,1.8,,,,,
2017-02-09,0.8,3.0,-0.3,4.5,0.0,,,,0.7,,,,,
2017-02-10,0.7,8.1,-2.4,0.5,4.9,,,,1.4,,,,,
2017-02-11,0.4,6.8,-5.5,0.0,7.3,,,,2.9,,,,,
2017-02-12,2.7,9.3,-2.7,0.0,6.9,,,,2.9,,,,,
2017-02-13,2.0,9.7,-4.8,0.0,8.6,,,,2.0,,,,,
2017-02-14,0.6,10.6,-5.2,0.0,5.9,,,,1.5,,,,,
2017-02-15,1.6,11.6,-5.8,0.0,8.9,,,,1.6,,,,,
2017-02-16,3.2,13.3,-4.4,0.0,9.0,,,,1.7,,,,,
2017-02-17,8.3,18.7,-1.8,0.0,7.1,,,,2.7,,,,,
2017-02-18,4.4,9.5,-0.9,0.0,1.2,,,,1.7,,,,,
2017-02-19,3.6,11.7,-2.1,0.5,9.1,,,,2.3,,,,,
2017-02-20,7.4,18.1,-2.7,2.0,5.8,,,,2.8,,,,,
2017-02-21,3.9,9.4,-0.8,0.0,9.2,,,,3.3,,,,,
2017-02-22,3.7,12.6,-4.0,0.0,7.8,,,,1.9,,,,,
2017-02-23,10.3,21.6,2.9,3.5,4.6,,,,1.7,,,,,
2017-02-24,6.1,12.7,2.5,0.5,6.3,,,,2.6,,,,,
2017-02-25,4.2,10.0,-1.9,0.0,6.0,,,,1.7,,,,,
2017-02-26,4.0,12.0,-2.8,0.0,7.1,,,,1.9,,,,,
2017-02-27,3.4,9.5,-2.1,0.0,4.0,,,,2.2,,,,,
2017-02-28,3.5,9.6,-0.9,0.0,4.5,,,,1.7,,,,,
2017-03-01,2.9,9.5,-2.6,5.5,5.0,,,,1.7,,,,,
2017-03-02,3.5,6.1,1.2,4.5,0.0,,,,0.9,,,,,
2017-03-03,5.4,14.8,-0.6,0.0,9.5,,,,2.0,,,,,
2017-03-04,5.2,15.4,-2.3,0.0,9.3,,,,1.5,,,,,
2017-03-05,6.3,14.4,-1.5,0.0,7.7,,,,1.9,,,,,
2017-03-06,5.6,10.2,1.3,0.0,0.4,,,,1.1,,,,,
2017-03-07,3.5,8.5,-1.9,0.0,1.5,,,,2.0,,,,,
2017-03-08,2.0,11.1,-5.1,0.0,8.0,,,,1.7,,,,,
2017-03-09,3.3,13.3,-4.6,0.0,9.1,,,,1.6,,,,,
2017-03-10,4.2,13.6,-3.3,0.0,9.7,,,,2.2,,,,,
2017-03-11,4.5,12.4,-2.3,0.0,7.9,,,,1.5,,,,,
2017-03-12,4.8,11.7,-2.7,0.0,7.8,,,,1.9,,,,,
2017-03-13,6.5,11.7,4.2,0.0,2.6,,,,1.8,,,,,
2017-03-14,6.0,7.8,4.4,1.0,0.0,,,,1.0,,,,,
2017-03-15,3.9,7.6,1.3,2.5,2.7,,,,1.7,,,,,
2017-03-16,5.3,13.8,-2.2,0.0,6.3,,,,1.6,,,,,
2017-03-17,5.2,13.3,-1.9,0.0,6.6,,,,1.8,,,,,
2017-03-18,5.8,14.3,-1.7,0.0,5.6,,,,1.6,,,,,
2017-03-19,7.3,17.8,-1.6,0.0,8.1,,,,2.0,,,,,
2017-03-20,8.4,17.9,-0.9,0.0,8.8,,,,1.9,,,,,
2017-03-21,6.1,8.1,2.6,11.0,0.0,,,,1.2,,,,,
2017-03-22,6.8,14.3,1.0,0.0,10.1,,,,2.4,,,,,
2017-03-23,5.5,13.2,-1.2,0.0,4.3,,,,1.6,,,,,
2017-03-24,5.1,11.9,-0.3,0.0,6.0,,,,1.8,,,,,
2017-03-25,4.8,11.2,-2.1,0.0,7.7,,,,1.8,,,,,
2017-03-26,2.6,6.1,0.2,17.0,0.1,,,,,,,,,
2017-03-27,2.4,8.8,-0.7,15.0,3.3,,,,0.7,,,,,
2017-03-28,3.9,12.2,-2.3,0.5,5.3,,,,1.4,,,,,
2017-03-29,4.9,12.6,-1.3,0.0,4.6,,,,1.7,,,,,
2017-03-30,8.0,18.5,-0.8,0.0,10.2,,,,2.0,,,,,
2017-03-31,4.0,9.2,0.3,10.5,0.0,,,,1.5,,,,,
2017-04-01,2.7,4.9,0.2,4.5,0.0,,,,0.6,,,,,
2017-04-02,5.6,12.8,2.1,0.5,4.0,,,,1.1,,,,,
2017-04-03,8.3,15.6,2.9,0.0,5.9,,,,1.8,,,,,
2017-04-04,8.3,16.9,-0.3,0.0,10.9,,,,2.1,,,,,
2017-04-05,12.3,21.9,3.1,0.0,7.6,,,,1.6,,,,,
2017-04-06,13.4,19.9,4.9,0.0,4.2,,,,2.1,,,,,
2017-04-07,17.4,23.3,13.5,0.0,3.8,,,,2.1,,,,,
2017-04-08,14.5,18.1,12.5,2.0,0.1,,,,1.2,,,,,
2017-04-09,13.8,19.9,9.9,1.0,0.8,,,,1.9,,,,,
2017-04-10,8.6,14.2,2.6,0.0,2.7,,,,1.9,,,,,
2017-04-11,5.6,7.1,2.5,31.0,0.0,,,,1.2,,,,,
2017-04-12,11.7,21.2,4.8,0.5,8.1,,,,2.2,,,,,
2017-04-13,10.4,18.6,3.4,0.0,11.1,,,,2.1,,,,,
2017-04-14,12.5,24.0,1.9,0.0,11.5,,,,1.7,,,,,
2017-04-15,14.4,23.7,5.5,0.0,7.5,,,,1.6,,,,,
2017-04-16,16.9,26.2,7.1,0.0,11.5,,,,2.2,,,,,
2017-04-17,15.9,24.0,11.4,10.0,3.0,,,,1.8,,,,,
2017-04-18,19.3,29.3,12.0,17.0,9.6,,,,1.9,,,,,
2017-04-19,14.7,23.0,6.8,0.0,11.2,,,,2.5,,,,,
2017-04-20,13.6,21.0,4.9,0.0,10.7,,,,2.4,,,,,
2017-04-21,12.8,18.7,8.6,0.0,1.6,,,,1.6,,,,,
2017-04-22,11.5,19.1,7.7,5.5,2.4,,,,1.7,,,,,
2017-04-23,12.2,19.1,6.8,0.0,11.3,,,,2.0,,,,,
2017-04-24,13.2,20.0,8.2,0.0,8.9,,,,2.0,,,,,
2017-04-25,14.0,22.7,6.3,0.0,11.5,,,,1.7,,,,,
2017-04-26,14.2,20.9,8.8,0.0,0.9,,,,2.0,,,,,
2017-04-27,12.7,17.4,9.0,0.0,1.8,,,,1.5,,,,,
2017-04-28,12.9,20.9,5.1,0.0,9.1,,,,1.8,,,,,
2017-04-29,13.8,23.3,5.2,0.0,8.4,,,,1.9,,,,,
2017-04-30,16.0,27.6,4.0,0.0,12.1,,,,1.7,,,,,
2017-05-01,14.4,24.1,8.3,1.0,7.2,,,,1.7,,,,,
2017-05-02,13.6,22.6,5.5,0.0,12.2,,,,2.0,,,,,
2017-05-03,14.5,23.8,5.6,0.0,8.6,,,,1.8,,,,,
2017-05-04,15.8,24.7,10.3,0.0,6.0,,,,1.7,,,,,
2017-05-05,16.9,26.3,7.6,0.0,12.4,,,,2.0,,,,,
2017-05-06,20.1,30.8,10.2,0.0,10.8,,,,2.0,,,,,
2017-05-07,18.4,24.6,11.0,0.0,3.4,,,,1.8,,,,,
2017-05-08,19.2,31.1,7.2,0.0,12.4,,,,2.1,,,,,
2017-05-09,16.4,21.2,11.0,0.0,0.0,,,,1.6,,,,,
2017-05-10,14.1,16.7,12.5,4.0,0.0,,,,1.1,,,,,
2017-05-11,20.2,27.9,11.1,0.0,9.1,,,,2.3,,,,,
2017-05-12,19.6,28.4,10.7,0.0,9.3,,,,1.8,,,,,
2017-05-13,14.7,16.8,13.2,17.5,0.0,,,,0.6,,,,,
2017-05-14,16.2,20.0,13.1,0.0,0.0,,,,1.6,,,,,
2017-05-15,16.7,21.8,13.8,0.0,2.5,,,,1.9,,,,,
2017-05-16,16.7,22.0,13.6,0.0,3.6,,,,1.7,,,,,
2017-05-17,15.0,18.4,12.9,0.0,0.1,,,,1.5,,,,,
2017-05-18,15.4,23.6,11.7,2.5,5.1,,,,1.1,,,,,
2017-05-19,17.7,26.8,9.3,0.0,10.7,,,,1.8,,,,,
2017-05-20,20.7,30.4,11.2,0.0,12.8,,,,1.6,,,,,
2017-05-21,22.5,32.3,13.6,0.0,11.9,,,,1.8,,,,,
2017-05-22,23.0,32.0,14.7,0.0,12.3,,,,2.0,,,,,
2017-05-23,22.6,30.7,15.1,0.0,12.3,,,,1.9,,,,,
2017-05-24,19.3,25.2,13.9,0.0,2.4,,,,1.6,,,,,
2017-05-25,17.0,20.4,15.0,3.0,0.0,,,,1.0,,,,,
2017-05-26,16.1,17.7,14.7,13.5,0.0,,,,0.9,,,,,
2017-05-27,19.3,25.5,15.7,1.0,9.6,,,,2.0,,,,,
2017-05-28,18.8,26.0,14.5,0.5,4.5,,,,1.4,,,,,
2017-05-29,20.0,27.9,12.8,0.0,10.6,,,,1.7,,,,,
2017-05-30,22.1,31.1,13.4,0.0,11.5,,,,1.6,,,,,
2017-05-31,22.5,29.1,16.8,0.0,5.1,,,,1.6,,,,,
