calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-12-17,0.7,8.2,-5.2,0.0,5.2,,,,1.6,,,,,
2016-12-18,0.9,10.9,-5.8,0.0,8.4,,,,1.0,,,,,
2016-12-19,2.4,12.7,-3.9,0.0,8.1,,,,1.2,,,,,
2016-12-20,1.8,7.7,-3.4,0.0,1.3,,,,1.1,,,,,
2016-12-21,2.7,11.5,-2.9,0.0,7.0,,,,1.3,,,,,
2016-12-22,5.6,14.2,-4.0,41.0,0.0,,,,1.9,,,,,
2016-12-23,7.6,15.0,1.9,3.5,1.0,,,,3.4,,,,,
2016-12-24,1.8,7.7,-2.4,0.0,7.9,,,,1.8,,,,,
2016-12-25,1.5,9.1,-2.4,0.0,6.8,,,,0.9,,,,,
2016-12-26,2.4,7.8,-3.4,0.0,2.9,,,,1.0,,,,,
2016-12-27,7.3,13.5,1.6,39.5,0.9,,,,4.7,,,,,
2016-12-28,0.2,3.5,-4.1,0.0,6.6,,,,3.1,,,,,
2016-12-29,1.7,8.5,-4.8,0.0,6.8,,,,2.6,,,,,
2016-12-30,1.2,6.6,-4.1,0.0,8.4,,,,2.3,,,,,
2016-12-31,-0.6,9.0,-6.8,0.0,8.4,,,,1.2,,,,,
2017-01-01,1.2,10.7,-4.6,0.0,8.4,,,,1.4,,,,,
2017-01-02,1.2,10.2,-4.5,0.0,7.0,,,,1.5,,,,,
2017-01-03,2.1,9.9,-3.9,0.0,7.3,,,,1.6,,,,,
2017-01-04,2.2,11.1,-4.5,0.0,8.3,,,,2.4,,,,,
2017-01-05,0.8,6.0,-3.0,0.0,8.5,,,,3.2,,,,,
2017-01-06,-0.2,5.4,-4.6,0.0,8.4,,,,2.1,,,,,
2017-01-07,-0.8,9.1,-6.5,0.0,8.5,,,,1.1,,,,,
2017-01-08,-0.5,2.1,-4.4,7.5,0.0,,,,2.1,,,,,
2017-01-09,3.2,9.8,-1.5,0.0,4.9,,,,1.6,,,,,
2017-01-10,2.5,8.8,-3.8,0.0,8.0,,,,2.3,,,,,
2017-01-11,1.2,6.8,-4.2,0.0,7.8,,,,2.7,,,,,
2017-01-12,0.9,5.6,-1.7,0.0,5.7,,,,4.1,,,,,
2017-01-13,-0.1,3.3,-2.2,0.0,0.1,,,,3.9,,,,,
2017-01-14,-2.9,-0.5,-5.6,0.5,0.0,,,,3.3,,,,,
2017-01-15,-4.7,-1.2,-7.3,0.0,3.0,,,,3.0,,,,,
2017-01-16,-2.2,2.2,-5.5,0.0,6.1,,,,2.4,,,,,
2017-01-17,-1.7,5.5,-8.5,0.0,6.7,,,,1.5,,,,,
2017-01-18,-0.2,7.7,-7.0,0.0,8.5,,,,1.9,,,,,
2017-01-19,1.2,5.7,-3.3,0.0,6.3,,,,3.2,,,,,
2017-01-20,-0.7,3.9,-5.0,0.0,1.3,,,,2.1,,,,,
2017-01-21,0.3,6.1,-2.7,0.0,7.7,,,,2.2,,,,,
2017-01-22,0.3,5.9,-6.2,0.0,2.8,,,,4.0,,,,,
2017-01-23,-2.4,1.3,-6.9,0.0,6.1,,,,2.5,,,,,
2017-01-24,-3.0,1.4,-7.7,0.0,6.6,,,,2.6,,,,,
2017-01-25,-3.2,4.6,-10.9,0.0,8.8,,,,1.8,,,,,
2017-01-26,-3.1,6.9,-9.7,0.0,8.9,,,,1.3,,,,,
2017-01-27,2.0,9.9,-7.9,0.0,2.0,,,,3.9,,,,,
2017-01-28,1.3,11.1,-5.4,0.0,8.8,,,,1.2,,,,,
2017-01-29,2.8,12.1,-5.4,4.0,5.6,,,,1.8,,,,,
2017-01-30,5.6,10.6,0.9,8.5,0.5,,,,3.1,,,,,
2017-01-31,0.1,4.5,-3.4,0.0,9.0,,,,3.8,,,,,
2017-02-01,0.9,9.2,-5.1,0.0,7.8,,,,2.3,,,,,
2017-02-02,0.1,3.9,-3.4,0.0,8.4,,,,3.5,,,,,
2017-02-03,2.6,8.7,-2.6,0.0,9.1,,,,3.0,,,,,
2017-02-04,0.9,10.0,-5.8,0.0,9.2,,,,1.6,,,,,
2017-02-05,-1.1,1.1,-4.3,10.5,0.0,,,,,,,,,
2017-02-06,3.0,6.9,-0.2,0.0,4.1,,,,,,,,,
2017-02-07,-0.2,3.1,-4.7,0.0,9.0,,,,3.2,,,,,
2017-02-08,-0.8,6.1,-6.8,0.0,9.1,,,,1.7,,,,,
2017-02-09,-1.0,0.2,-2.5,0.5,0.0,,,,,,,,,
2017-02-10,-1.0,2.7,-4.6,0.0,4.2,,,,,,,,,
2017-02-11,-3.5,1.4,-9.8,0.0,3.2,,,,2.5,,,,,
2017-02-12,-2.8,4.4,-10.0,0.0,8.7,,,,2.0,,,,,
2017-02-13,-1.8,5.7,-8.1,0.0,8.3,,,,2.7,,,,,
2017-02-14,-1.8,5.2,-7.9,0.0,6.5,,,,1.8,,,,,
2017-02-15,-0.5,8.4,-7.4,0.0,9.7,,,,1.5,,,,,
2017-02-16,2.0,13.0,-6.9,0.0,9.7,,,,1.9,,,,,
2017-02-17,5.1,9.3,-3.0,18.5,0.7,,,,3.2,,,,,
2017-02-18,2.5,8.4,-1.0,0.0,3.0,,,,2.4,,,,,
2017-02-19,1.6,8.5,-4.3,0.0,9.7,,,,3.1,,,,,
2017-02-20,4.5,8.4,1.0,17.5,0.2,,,,5.3,,,,,
2017-02-21,0.5,4.0,-3.2,0.0,7.4,,,,4.2,,,,,
2017-02-22,2.0,10.5,-6.3,0.0,6.7,,,,3.2,,,,,
2017-02-23,6.7,12.0,1.6,22.0,0.1,,,,3.5,,,,,
2017-02-24,2.6,7.6,-2.3,0.0,9.7,,,,3.9,,,,,
2017-02-25,1.5,9.7,-6.6,0.0,8.8,,,,2.2,,,,,
2017-02-26,3.0,10.9,-4.3,0.0,8.2,,,,2.5,,,,,
2017-02-27,2.5,8.8,-0.6,0.0,8.9,,,,3.5,,,,,
2017-02-28,3.0,11.0,-4.1,0.0,7.7,,,,2.0,,,,,
2017-03-01,2.8,12.5,-5.5,1.0,7.5,,,,2.3,,,,,
2017-03-02,1.3,3.0,0.4,2.5,0.0,,,,0.4,,,,,
2017-03-03,3.7,9.5,-1.0,0.0,9.0,,,,2.2,,,,,
2017-03-04,3.2,13.0,-5.4,0.0,8.7,,,,1.5,,,,,
2017-03-05,5.8,14.4,-3.9,0.0,8.2,,,,2.7,,,,,
2017-03-06,6.4,9.8,2.3,0.0,0.5,,,,2.4,,,,,
2017-03-07,1.6,8.1,-2.3,0.0,3.8,,,,3.4,,,,,
2017-03-08,0.0,5.2,-2.7,0.0,3.4,,,,3.6,,,,,
2017-03-09,2.0,6.9,-1.4,0.0,4.3,,,,3.9,,,,,
2017-03-10,2.6,8.6,-2.0,0.0,4.6,,,,3.5,,,,,
2017-03-11,1.8,8.6,-4.0,0.0,10.4,,,,3.2,,,,,
2017-03-12,3.6,13.1,-4.8,0.0,8.6,,,,2.5,,,,,
2017-03-13,4.9,13.0,-0.8,0.0,4.8,,,,2.1,,,,,
2017-03-14,5.5,11.7,2.2,0.0,4.4,,,,3.4,,,,,
2017-03-15,4.2,10.0,-1.6,0.0,5.7,,,,3.5,,,,,
2017-03-16,4.3,12.0,-2.6,0.0,10.4,,,,2.5,,,,,
2017-03-17,3.6,12.4,-3.0,0.0,9.7,,,,2.6,,,,,
2017-03-18,4.5,11.1,-3.2,0.0,6.8,,,,1.9,,,,,
2017-03-19,6.1,14.5,-2.5,0.0,10.5,,,,2.7,,,,,
2017-03-20,7.6,16.2,-1.2,0.0,9.8,,,,2.4,,,,,
2017-03-21,3.7,7.9,0.9,9.5,0.0,,,,1.3,,,,,
2017-03-22,4.0,9.9,-0.6,0.0,10.7,,,,2.8,,,,,
2017-03-23,4.1,10.9,-2.3,0.0,5.3,,,,1.8,,,,,
2017-03-24,3.1,8.0,-1.4,0.0,10.6,,,,3.0,,,,,
2017-03-25,3.4,10.6,-4.1,0.0,7.0,,,,2.1,,,,,
2017-03-26,2.2,4.7,0.3,3.0,0.2,,,,1.6,,,,,
2017-03-27,3.7,8.8,0.2,0.0,3.0,,,,2.8,,,,,
2017-03-28,3.9,10.6,-2.6,0.0,7.2,,,,1.8,,,,,
2017-03-29,4.8,13.6,-3.0,0.0,10.5,,,,1.5,,,,,
2017-03-30,7.8,16.7,-1.4,0.0,8.2,,,,2.3,,,,,
2017-03-31,3.1,6.1,-0.3,0.0,0.0,,,,2.0,,,,,
2017-04-01,3.7,7.0,1.2,,0.0,,,,2.9,,,,,
2017-04-02,5.4,13.4,-0.2,,8.1,,,,1.8,,,,,
2017-04-03,4.7,15.1,-2.4,,8.8,,,,2.3,,,,,
2017-04-04,8.0,17.7,0.2,,11.5,,,,1.8,,,,,
2017-04-05,10.2,19.9,0.8,0.0,7.9,,,,2.5,,,,,
2017-04-06,9.9,15.2,4.4,1.0,2.3,,,,3.9,,,,,
2017-04-07,13.3,18.7,10.6,12.5,1.2,,,,3.5,,,,,
2017-04-08,14.3,19.3,11.3,7.5,0.0,,,,1.8,,,,,
2017-04-09,11.6,16.8,5.0,7.5,1.6,,,,3.9,,,,,
2017-04-10,8.9,16.1,2.7,0.0,6.0,,,,2.5,,,,,
2017-04-11,5.9,8.0,4.6,36.0,0.0,,,,2.3,,,,,
2017-04-12,9.1,16.7,3.8,0.0,10.1,,,,3.7,,,,,
2017-04-13,7.1,14.3,-0.7,0.0,9.2,,,,2.6,,,,,
2017-04-14,10.7,20.8,-0.5,0.0,9.5,,,,2.7,,,,,
2017-04-15,10.8,14.5,4.7,1.5,3.1,,,,3.6,,,,,
2017-04-16,12.3,22.0,2.6,0.0,9.1,,,,1.9,,,,,
2017-04-17,11.8,20.3,3.7,41.5,3.3,,,,2.2,,,,,
2017-04-18,16.1,21.4,9.6,30.0,11.3,,,,5.3,,,,,
2017-04-19,10.6,16.3,5.3,3.5,4.1,,,,3.7,,,,,
2017-04-20,10.9,19.4,1.4,0.0,8.1,,,,2.2,,,,,
2017-04-21,11.2,17.8,6.9,0.0,2.0,,,,1.6,,,,,
2017-04-22,10.5,20.0,5.7,0.0,7.5,,,,3.5,,,,,
2017-04-23,9.8,18.4,1.5,0.0,12.2,,,,2.2,,,,,
2017-04-24,12.2,21.5,2.7,0.0,10.2,,,,2.9,,,,,
2017-04-25,13.3,21.3,4.8,0.0,10.8,,,,3.0,,,,,
2017-04-26,11.3,14.0,9.4,4.0,0.6,,,,4.0,,,,,
2017-04-27,10.8,16.5,4.3,2.5,4.1,,,,3.1,,,,,
2017-04-28,10.4,19.5,0.8,0.0,10.6,,,,1.6,,,,,
2017-04-29,9.5,20.3,1.8,0.5,8.2,,,,2.4,,,,,
2017-04-30,13.3,24.7,1.4,0.0,12.5,,,,2.5,,,,,
2017-05-01,11.5,15.9,6.5,1.5,2.1,,,,1.8,,,,,
2017-05-02,12.2,21.5,2.3,0.0,12.6,,,,2.3,,,,,
2017-05-03,14.6,24.0,8.1,0.0,6.6,,,,2.4,,,,,
2017-05-04,14.8,23.5,7.7,0.0,4.8,,,,2.6,,,,,
2017-05-05,17.4,27.0,8.6,0.0,8.6,,,,1.5,,,,,
2017-05-06,16.6,21.6,9.4,0.0,2.0,,,,2.9,,,,,
2017-05-07,15.9,21.1,9.8,0.0,8.0,,,,3.3,,,,,
2017-05-08,18.2,27.3,8.0,0.0,12.0,,,,2.8,,,,,
2017-05-09,15.4,21.9,7.4,1.5,0.0,,,,2.4,,,,,
2017-05-10,13.9,18.7,10.7,9.5,0.1,,,,1.7,,,,,
2017-05-11,16.6,22.6,13.7,0.0,2.2,,,,2.6,,,,,
2017-05-12,18.6,25.1,11.4,0.0,5.7,,,,1.5,,,,,
2017-05-13,13.7,16.1,11.8,22.5,0.0,,,,1.2,,,,,
2017-05-14,17.6,25.7,12.6,0.0,9.9,,,,3.1,,,,,
2017-05-15,15.9,20.8,10.4,0.0,2.6,,,,3.2,,,,,
2017-05-16,15.2,22.7,7.8,0.0,5.8,,,,1.8,,,,,
2017-05-17,15.3,20.3,11.9,3.0,3.5,,,,1.9,,,,,
2017-05-18,16.7,23.5,10.8,0.0,6.7,,,,1.5,,,,,
2017-05-19,18.3,27.4,8.7,0.0,12.9,,,,1.9,,,,,
2017-05-20,20.1,31.4,10.4,0.0,13.2,,,,1.3,,,,,
2017-05-21,22.3,31.5,13.6,0.0,11.9,,,,2.2,,,,,
2017-05-22,21.8,30.7,13.9,0.0,10.9,,,,2.4,,,,,
2017-05-23,20.3,29.7,13.3,0.0,8.0,,,,2.8,,,,,
2017-05-24,17.3,21.3,12.6,0.0,0.0,,,,1.2,,,,,
2017-05-25,16.5,19.4,14.8,18.0,0.0,,,,0.9,,,,,
2017-05-26,17.9,23.4,15.4,2.0,3.1,,,,2.1,,,,,
2017-05-27,18.0,24.1,11.8,0.0,13.3,,,,3.4,,,,,
2017-05-28,17.4,26.7,8.9,0.0,11.6,,,,2.2,,,,,
2017-05-29,19.4,28.4,10.2,0.0,13.4,,,,2.6,,,,,
2017-05-30,21.9,31.7,11.1,0.0,10.2,,,,1.4,,,,,
2017-05-31,20.9,28.8,14.6,0.0,5.0,,,,2.8,,,,,
